File,_id,code,name,currentStatusTitle,processCode,statusValues,data
knob-1,1,reprol,Review project description (high Level),Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-2,2,deapp10,Determine appropriate Project Process - Section 10,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-3,3,gedefon,Generate Default Project Template based on above selection,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-4,4,kpplaER,KPI PLACEHOLDER,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-5,5,reandan,Review and Modify Tasks in Plan,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-6,6,admilan,Add Milestone Dates to the Plan,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-7,7,crproem,Create Project Team and Assign roles in System,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-8,8,reandem,Review and populate Stakeholder Members in System,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-9,9,eaocoandem,EAO Confirm and Modify Value Components created in system,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-10,10,propcoandem,Proponent Confirm and Modify Value Components created in system,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-11,11,poisses,Populate Issue Tracking Table with known issues,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-12,12,pofnits,Populate FNI Tracking Table with known Interests,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-13,13,reandix,Review and Modify Notification Matrix,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-14,14,approew,Approve ProjectSpace for Proponent View,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-15,15,noprontps,Notify Proponent about Project Space,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-16,16,idfirn ,Identify First Nations for Consultation ,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-17,17,refirim,Research First Nations Strength of Claim,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-18,18,seconel,Set Consultation level,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-19,19,amstast,Amend Stakeholder List,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-20,20,crdra10,Create Draft Section 10,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-21,21,crdraem,Create Draft Section 11 Document and Upload to the System,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-22,22,ininint,Input Initial Value Component Content,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-23,23,inknoes,Input known Issues,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-24,24,adfnist,Add FNI items to FNI List,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-25,25,reprdesc,Revise Project Description,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-26,26,apprdesc,Approve Project Description,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-27,27,puprdesc,Publish Project Description,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-28,28,fiprs101c,Finalize Section 10.1C,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-29,29,apprs101c,Approve Section 10.1C,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-30,30,noprs101c,Notify Section 10.1C,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-31,31,ifnotad,"If not already complete, Create Draft S11 and Upload",Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-32,32,sufornt,Submit for First Nations' Comment,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-33,33,s11rev,Section 11 Review,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-34,34,fiandnt,Finalize and Approve Document,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-35,35,crvalte,Create Value Components as appropriate,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-36,36,nopront,Notify Proponent,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-37,37,setors,Send to Proponent and identified Stakeholders,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-38,38,adval11,Add Value Components based on information provided through S11,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-39,39,enmannt,Enter Mandatory Minimum information within each Value Component,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-40,40,alstars,Alert stakeholders,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-41,41,revalts,Review Value Components,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-42,42,asvalrs,Assign Value Components to Working Group Members,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
